videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
8ajvzKU_U_M,"4월 10일, 심판하자! 이채양명주!",2024-03-31T08:14:50Z,3496,595,0,14
WdEjP1YQ_8I,서울 서대문갑 김동아 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T10:07:54Z,9864,1866,0,45
h56nsaN0waM,서울 마포갑 이지은 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T09:22:02Z,37228,3788,0,68
c9_99_6G79Q,서울 영등포을 김민석 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T08:17:26Z,20677,2847,0,41
QaU7eB4c8_8,서울 용산구 강태웅 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T07:26:26Z,13456,1861,0,14
4pYbRup6bLA,더불어민주당 부산 후보자 출정 기자회견 - 김부겸 상임공동선대위원장,2024-03-30T07:10:04Z,13895,2038,0,37
mdG0sjCt_PM,서울 중구성동을 박성준 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T06:39:16Z,15655,2373,0,29
unRMgvj52gs,서울 광진을 고민정 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T05:21:01Z,38106,3109,0,176
0ES5vGXkNRc,서울 강동갑 진선미 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T04:42:37Z,8192,1133,0,14
pymj3Q4lHtA,서울 송파병 남인순 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T03:35:32Z,10020,1489,0,17
e-mAc64P1_k,서울 송파갑 조재희 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T02:38:28Z,11836,1963,0,29
FyydmKpkG68,서울 송파을 송기호 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-30T01:57:02Z,13464,2075,0,26
WLmJTsLokiM,5대 심판! 5대 국가비전!,2024-03-29T04:45:34Z,148042,1108,0,81
KplqjpVhGLE,경기 현장선대위 생중계 - 더불어민주당,2024-03-29T00:51:25Z,9292,1777,0,55
CYNHYN2blQY,[제22대 국회의원선거] 더불어민주당 공통선거송 – 5대비전송,2024-03-28T09:46:41Z,61711,1199,0,102
T9tjThNSaZU,[제22대 국회의원선거] 더불어민주당 공통선거송 – 정권심판송,2024-03-28T09:45:17Z,36598,2834,0,167
NsNfO-x3SxQ,서울 동작갑 김병기 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-28T05:47:55Z,11400,1476,0,12
RHsHURL8zB4,서울 동작을 류삼영 후보 지지 유세 생중계 - 이재명 상임공동선대위원장,2024-03-28T04:49:38Z,36523,4121,0,118
5fqQV6f7wqo,용산은 강태웅! 윤석열 정권 심판열차 용산역에서 출~발 🚊,2024-03-28T04:17:41Z,2581,329,0,11
J8pnqF9Q0Yc,서울 중구성동갑 전현희 후보 지지 유세 및 왕십리 거리인사  - 이재명 상임공동선대위원장,2024-03-28T02:40:03Z,32202,3231,0,101
V3G6zfnPDmU,"경제폭망 민생파탄, 못참겠다 심판하자!",2024-03-28T01:48:17Z,2904,395,0,22
5EHURXBR1rQ,더불어민주당 정권심판·국민승리 선대위 출정식 생중계,2024-03-28T01:36:17Z,6951,1305,0,9
